date,sh.600843.csv,sh.600863.csv,sh.600867.csv,sh.600143.csv,sz.000796.csv,sh.600352.csv,sh.600016.csv,sh.600133.csv,sz.000776.csv,sz.300740.csv
2007-01-04,5.01465734,0.8496477,1.37864438,4.5073854,3.85578745,0.88713,2.35456894,2.63470395,3.85831435,
2007-01-05,5.0542989,0.93610308,1.51211223,4.17708229,4.21262125,0.9285294,2.21620054,2.63470395,3.85831435,
2007-01-08,5.22277553,1.0285209,1.56235895,4.42510773,4.2621815,0.9600718,2.23464966,2.63470395,3.85831435,
2007-01-09,5.28223787,1.0285209,1.57335042,4.44299418,4.41086225,0.9719002,2.3292014,2.63470395,3.85831435,
2007-01-10,5.31196904,1.1328636,1.55764832,4.7100985,4.49015865,1.0231566,2.34534438,2.76771813,3.85831435,
2007-01-11,5.3516106,1.17460068,1.65186092,4.82695664,4.3216538,1.0132996,2.25079264,2.90584824,3.85831435,
2007-01-12,5.50026645,1.08516408,1.65029071,4.82576421,4.1828851,0.9719002,2.23464966,2.79329778,3.85831435,
2007-01-15,5.6489223,1.14478848,1.80731171,4.88657814,4.3018297,1.025128,2.23464966,2.87515266,3.85831435,
2007-01-16,5.57954957,1.12988238,1.84656696,5.22045854,4.23244535,1.0290708,2.36148736,2.88538452,3.85831435,
2007-01-17,5.33178982,1.18652556,1.86540948,5.32300752,4.6586635,1.0606132,2.3868549,2.94677568,3.85831435,
2007-01-18,5.48044567,1.16565702,1.81045213,5.30512107,4.66857555,1.0803272,2.26924176,3.04909428,3.85831435,
2007-01-19,5.98587556,1.17460068,1.86540948,5.83336756,4.84699245,1.1020126,2.33842596,3.10536951,3.85831435,
2007-01-22,6.18408336,1.19845044,1.91094557,6.19705871,4.92628885,1.1374978,2.39146718,3.19234032,3.85831435,
2007-01-23,6.7390652,1.20143166,1.87797116,6.2602575,5.0551455,1.123698,2.63130574,3.16676067,3.85831435,
2007-01-24,6.52103662,1.21335654,1.78689898,6.31391685,5.04523345,1.1552404,2.65897942,3.28954299,3.85831435,
2007-01-25,6.00569634,1.13584482,1.6958268,6.0217715,4.68839965,1.0803272,2.69126538,3.12583323,3.85831435,
2007-01-26,5.92641322,1.11199506,1.81673297,6.22925432,4.60910325,1.0665274,2.96108376,3.05421021,3.85831435,
