code,date,open,high,low,close,volume,amount,turn
sh.600550,2007-01-04,5.1868605000,5.3002345000,5.0508117000,5.2945658000,5682830,103262040.0000,3.919565
sh.600550,2007-01-05,5.2577192500,5.8245892500,5.2010322500,5.6885404500,10872231,215759512.0000,7.498801
sh.600550,2007-01-08,5.6601969500,5.8727732000,5.6346878000,5.7707366000,4831244,98167878.0000,3.332208
sh.600550,2007-01-09,5.7764053000,6.3489440000,5.6998778500,6.3489440000,10918408,239277944.0000,7.530651
sh.600550,2007-01-10,6.3687844500,6.5615202500,6.2667478500,6.4849928000,6551452,147950960.0000,4.518671
sh.600550,2007-01-11,6.4623180000,6.5473485000,6.2639135000,6.2809196000,4962851,111666864.0000,3.422980
sh.600550,2007-01-12,6.2327356500,6.2837539500,5.8812762500,5.9237915000,5600356,119695294.0000,3.862681
sh.600550,2007-01-15,5.9096197500,6.2185639000,5.8671045000,6.1930547500,3437506,74291661.0000,2.370919
sh.600550,2007-01-16,6.2440730500,6.7429186500,6.1448708000,6.5700233000,6151399,138926390.0000,4.242746
sh.600550,2007-01-17,6.6012011500,7.2247581500,6.6012011500,6.7967713000,8567724,209452674.0000,5.909336
sh.600550,2007-01-18,6.7939369500,6.9384888000,6.4623180000,6.9073109500,4438347,105285585.0000,3.061219
sh.600550,2007-01-19,7.0291880000,7.5393710000,7.0291880000,7.3948191500,5976522,154593407.0000,4.122130
sh.600550,2007-01-22,7.4826840000,7.5251992500,7.2984512500,7.4231626500,4787610,125025971.0000,3.302113
sh.600550,2007-01-23,7.3636413000,7.5960580000,7.1794085500,7.5875549500,4008551,104340036.0000,2.764780
sh.600550,2007-01-24,7.6244015000,7.7065976500,7.3919848000,7.4741809500,3128337,83632336.0000,2.157678
sh.600550,2007-01-25,7.3919848000,7.5081931500,7.0433597500,7.2616047000,3265135,84009628.0000,2.252031
sh.600550,2007-01-26,7.0943780500,7.3693100000,7.0518628000,7.3012856000,2870670,72571437.0000,1.979960
sh.600550,2007-01-29,7.4203283000,7.8511495000,7.3976535000,7.7632846500,3932745,106853681.0000,2.712495
sh.600550,2007-01-30,7.6839228500,7.7944625000,7.4855183500,7.4996901000,2491607,66934808.0000,1.718513
sh.600550,2007-01-31,7.4968557500,7.6810885000,6.9753353500,6.9923414500,4312365,112391750.0000,2.974327
sh.600550,2007-02-01,6.9413231500,7.1709055000,6.8024400000,7.0518628000,2667716,66143390.0000,1.839979
sh.600550,2007-02-02,7.0546971500,7.2105864000,6.9384888000,6.9753353500,1974796,49227185.0000,1.362057
sh.600550,2007-02-05,6.9753353500,6.9753353500,6.9753353500,6.9753353500,0,0.0000,
sh.600550,2007-02-06,7.0291880000,7.4798496500,7.0291880000,7.4486718000,3807613,97861435.0000,2.626189
sh.600550,2007-02-07,7.4741809500,7.7802907500,7.4543405000,7.6215671500,2948293,79236206.0000,2.033498
sh.600550,2007-02-08,7.5960580000,7.8398121000,7.5705488500,7.8086342500,3582878,97990855.0000,2.471185
sh.600550,2007-02-09,7.8511495000,8.2763020000,7.8369777500,8.1714310500,5026140,144539396.0000,3.466632
sh.600550,2007-02-12,8.3471607500,8.4747065000,8.1147440500,8.2763020000,3171207,92982802.0000,2.187247
sh.600550,2007-02-13,8.2763020000,8.3896760000,8.0807318500,8.2196150000,2597049,75310785.0000,1.791238
sh.600550,2007-02-14,8.3216516000,8.7297980000,8.2791363500,8.5710744000,2731613,82691435.0000,1.884050
sh.600550,2007-02-15,8.6192583500,8.9707177500,8.6192583500,8.9140307500,2630078,81681902.0000,1.814019
sh.600550,2007-02-16,9.0699200000,9.6367900000,9.0359078000,9.3703611000,2394645,78786944.0000,1.651636
sh.600550,2007-02-26,9.4950725000,10.1951569500,9.4950725000,10.1923226000,2141623,75408090.0000,1.477121
sh.600550,2007-02-27,10.3312057500,10.3737210000,9.1719566000,9.1719566000,4609066,155460791.0000,3.178968
sh.600550,2007-02-28,9.0217360500,9.4809007500,8.7297980000,9.1662879000,4401813,140277049.0000,3.036021
sh.600550,2007-03-01,9.3505206500,9.3505206500,8.3046455000,8.4350256000,3022563,92919001.0000,2.084724
sh.600550,2007-03-02,8.5002156500,8.8601781000,8.4463630000,8.5143874000,3599075,109846087.0000,2.482356
sh.600550,2007-03-05,8.5030500000,8.7496384500,7.9361800000,8.2791363500,3880184,114709601.0000,2.676243
sh.600550,2007-03-06,8.2904737500,8.6050866000,8.2196150000,8.5285591500,2138594,63523590.0000,1.475032
sh.600550,2007-03-07,8.6135896500,8.9848895000,8.5597370000,8.9565460000,3209194,99304036.0000,2.213447
sh.600550,2007-03-08,9.1209383000,9.3476863000,8.9423742500,9.3108397500,2345860,75761158.0000,1.617988
sh.600550,2007-03-09,9.3108397500,9.3306802000,8.9508773000,9.0245704000,2348901,75262256.0000,1.620085
sh.600550,2007-03-12,9.0160673500,9.4525572500,8.9848895000,9.0869261000,2488118,80500968.0000,1.716106
sh.600550,2007-03-13,9.0699200000,9.0755887000,8.7297980000,8.9026933500,2940420,91819052.0000,2.028068
sh.600550,2007-03-14,8.7864850000,8.7864850000,8.3896760000,8.5880805000,2470561,74738437.0000,1.703997
sh.600550,2007-03-15,8.5909148500,9.0585826000,8.5909148500,8.8431720000,2782826,86623947.0000,1.919372
sh.600550,2007-03-16,8.8941903000,9.2569871000,8.6447675000,9.2059688000,3255913,102193695.0000,2.245670
sh.600550,2007-03-19,8.9565460000,10.1271325500,8.8998590000,9.6906426500,8801594,307046860.0000,6.070640
sh.600550,2007-03-20,9.6226182500,9.7501640000,9.3845328500,9.5205816500,3672565,123450997.0000,2.533044
sh.600550,2007-03-21,9.5460908000,9.6141152000,9.3250115000,9.5489251500,2450211,81434803.0000,1.689961
sh.600550,2007-03-22,9.5801030000,9.9740776500,9.5517595000,9.6311213000,2274371,78207946.0000,1.568680
