code,date,open,high,low,close,volume,amount,turn
sz.300566,2016-11-15,5.9935686800,7.1902767600,5.9935686800,7.1902767600,5800,123505.0000,0.029146
sz.300566,2016-11-16,7.9089701600,7.9089701600,7.9089701600,7.9089701600,3000,70980.0000,0.015075
sz.300566,2016-11-17,8.7012042800,8.7012042800,8.7012042800,8.7012042800,300,7809.0000,0.001508
sz.300566,2016-11-18,9.5703218800,9.5703218800,9.5703218800,9.5703218800,700,20041.0000,0.003518
sz.300566,2016-11-21,10.5263512400,10.5263512400,10.5263512400,10.5263512400,400,12596.0000,0.002010
sz.300566,2016-11-22,11.5793206400,11.5793206400,11.5793206400,11.5793206400,1000,34640.0000,0.005025
sz.300566,2016-11-23,12.7359156000,12.7359156000,12.7359156000,12.7359156000,2600,99060.0000,0.013065
sz.300566,2016-11-24,14.0095071600,14.0095071600,14.0095071600,14.0095071600,7121,298441.0000,0.035784
sz.300566,2016-11-25,15.4101236000,15.4101236000,15.4101236000,15.4101236000,8700,401070.0000,0.043719
sz.300566,2016-11-28,16.9511359600,16.9511359600,16.9511359600,16.9511359600,4100,207911.0000,0.020603
sz.300566,2016-11-29,18.6459152800,18.6459152800,18.6459152800,18.6459152800,16403,914959.0000,0.082427
sz.300566,2016-11-30,20.5111753600,20.5111753600,20.5111753600,20.5111753600,18976,1164367.0000,0.095357
sz.300566,2016-12-01,22.5636300000,22.5636300000,22.5636300000,22.5636300000,31800,2146500.0000,0.159799
sz.300566,2016-12-02,24.8199930000,24.8199930000,24.8199930000,24.8199930000,69200,5138100.0000,0.347739
sz.300566,2016-12-05,27.3036636800,27.3036636800,26.2740936000,26.7353944800,10220731,820686208.0000,51.360457
sz.300566,2016-12-06,25.6222554000,27.0730132400,25.3080359600,26.8925042000,7876402,617429952.0000,39.579910
sz.300566,2016-12-07,27.1766388000,29.4029169600,26.3476343200,27.8117632000,8732536,724519664.0000,43.882090
sz.300566,2016-12-08,27.8117632000,30.0179848000,27.4708016800,29.2491500000,8994328,770238192.0000,45.197628
sz.300566,2016-12-09,29.4162880000,29.5132280400,26.4412316000,26.4746592000,7515648,624493056.0000,37.767075
sz.300566,2016-12-12,26.0735280000,27.1498967200,24.9102475200,25.0339296400,5437444,420874304.0000,27.323839
sz.300566,2016-12-13,24.6027136000,25.5988560800,24.0678720000,25.0038448000,4514728,335563360.0000,22.687075
sz.300566,2016-12-14,24.4121762800,24.7364240000,23.2990372000,23.3959772400,4061807,293099600.0000,20.411090
sz.300566,2016-12-15,22.9714467200,24.2015824000,22.9681039600,23.8405643200,3194068,226796331.0000,16.050593
sz.300566,2016-12-16,23.4060055200,23.6934828800,22.7575100800,23.3525213600,3131072,218110096.0000,15.734030
sz.300566,2016-12-19,23.2321820000,23.9074195200,22.5669727600,23.4260620800,2262604,158218218.0000,11.369869
sz.300566,2016-12-20,23.3658924000,24.1347272000,23.2321820000,23.6266276800,2150640,152439651.0000,10.807236
sz.300566,2016-12-21,23.7335960000,23.7904229200,22.7976232000,23.3625496400,2373310,164996505.0000,11.926181
sz.300566,2016-12-22,23.3424930800,23.7235677200,22.9580756800,23.1051571200,1941558,135617177.0000,9.756573
sz.300566,2016-12-23,22.8644784000,22.8979060000,21.3936640000,21.3936640000,3218896,213446744.0000,16.175357
sz.300566,2016-12-26,21.1429570000,21.8917352400,20.7251120000,21.7312827600,2000970,128401038.0000,10.055126
sz.300566,2016-12-27,21.6209716800,21.8883924800,21.5641447600,21.6744558400,1213800,78844114.0000,6.099497
sz.300566,2016-12-28,21.6510565200,22.3329795600,21.5039750800,21.9585904400,1775437,116818384.0000,8.921794
sz.300566,2016-12-29,21.8482793600,22.3898064800,21.5608020000,21.7513393200,1887250,124466102.0000,9.483668
sz.300566,2016-12-30,21.6610848000,21.7212544800,21.2265260000,21.3602364000,1586435,101777378.0000,7.972035
sz.300566,2017-01-03,21.4538336800,23.0249308800,21.4538336800,22.6605700400,2810080,187448579.0000,14.121005
sz.300566,2017-01-04,22.5770010400,22.8711639200,22.2895236800,22.8577928800,2309442,156511741.0000,11.605236
sz.300566,2017-01-05,22.7307680000,23.0650440000,21.9285056000,22.1290712000,1928591,129898131.0000,9.691412
sz.300566,2017-01-06,22.0388166800,22.1123574000,20.8955927600,21.0059038400,2073881,133599552.0000,10.421513
sz.300566,2017-01-09,20.6582568000,20.8955927600,20.2170124800,20.4376346400,1385900,85016321.0000,6.964322
sz.300566,2017-01-10,20.4510056800,20.8788789600,20.2571256000,20.2771821600,1151500,70817629.0000,5.786432
sz.300566,2017-01-11,20.0732738000,20.2504400800,19.5718598000,19.5885736000,1346600,80144995.0000,6.766834
sz.300566,2017-01-12,19.7222840000,20.2069842000,19.5284039200,19.6654570800,963131,57199038.0000,4.839854
sz.300566,2017-01-13,19.6554288000,19.8158812800,18.5222331600,18.6526008000,1452281,82726239.0000,7.297894
sz.300566,2017-01-16,18.3450668800,18.3851800000,16.7873407200,17.2386133200,1584353,83467063.0000,7.961573
sz.300566,2017-01-17,17.1450160400,18.3851800000,16.4864923200,17.9305646400,1769586,92507644.0000,8.892392
sz.300566,2017-01-18,17.5862603600,17.7132852400,17.2218995200,17.2452988400,995220,52015661.0000,5.001106
sz.300566,2017-01-19,17.0815036000,17.9171936000,16.6469448000,17.3522671600,1137500,58981637.0000,5.716080
sz.300566,2017-01-20,17.3790092400,18.3784944800,17.2218995200,18.1344730000,1538109,82800722.0000,7.729191
sz.300566,2017-01-23,18.0375329600,18.8832512400,18.0107908800,18.4018938000,1272413,70305593.0000,6.394035
sz.300566,2017-01-24,18.2782116800,18.3082965200,17.6531155600,17.6765148800,1234505,66018431.0000,6.203543
sz.300566,2017-01-25,17.5595182800,18.3082965200,17.5093768800,18.2080137200,1010705,54620450.0000,5.078920
sz.300566,2017-01-26,18.3818372400,18.8498236400,18.2347558000,18.5456324800,1353020,75011215.0000,6.799095
sz.300566,2017-02-03,18.5456324800,18.5790600800,18.0509040000,18.1211019600,760042,41449426.0000,3.819307
sz.300566,2017-02-06,18.5523180000,18.8865940000,18.3216675600,18.8765657200,1245358,69460825.0000,6.258080
sz.300566,2017-02-07,18.7461980800,18.8565091600,18.3851800000,18.5924311200,883960,49192717.0000,4.442010
sz.300566,2017-02-08,18.5790600800,19.6821708800,18.4286358800,19.5785453200,1606720,91711372.0000,8.073970
sz.300566,2017-02-09,19.3880080000,19.7022274400,19.2576403600,19.5484604800,1526171,89069923.0000,7.669201
sz.300566,2017-02-10,19.5518032400,19.5551460000,18.9066505600,18.9534492000,1159820,66530098.0000,5.828241
sz.300566,2017-02-13,18.7729401600,20.2437545600,18.7595691200,20.0231324000,2185122,129299961.0000,10.980513
sz.300566,2017-02-14,19.8392806000,20.6248292000,19.8392806000,20.1067014000,1536103,93071155.0000,7.719111
sz.300566,2017-02-15,20.0498744800,20.6849988800,19.9629627200,20.2236980000,1826259,111240683.0000,9.177181
sz.300566,2017-02-16,20.1635283200,20.6415430000,19.8894220000,20.3607511600,1465861,89131898.0000,7.366136
sz.300566,2017-02-17,20.3941787600,20.4209208400,19.5885736000,19.6220012000,1455358,86545235.0000,7.313357
sz.300566,2017-02-20,19.3880080000,19.6888564000,18.5690318000,19.2208700000,1660138,94364317.0000,8.342402
sz.300566,2017-02-21,19.1840996400,19.8526516400,19.1473292800,19.6554288000,959178,56089255.0000,4.819990
sz.300566,2017-02-22,19.6387150000,20.2537828400,19.5651742800,19.9796765200,1339000,80135314.0000,6.728643
sz.300566,2017-02-23,19.9061358000,20.3540656400,19.7256267600,20.1468145200,1229527,73781125.0000,6.178528
sz.300566,2017-02-24,20.1234152000,22.0221028800,20.0632455200,21.5608020000,2931283,185018507.0000,14.730065
sz.300566,2017-02-27,21.4738902400,23.0249308800,21.3936640000,22.1056718800,2849558,190759956.0000,14.319387
sz.300566,2017-02-28,22.1056718800,22.6906548800,21.5173461200,22.3262940400,2140501,141178013.0000,10.756286
sz.300566,2017-03-01,22.0655587600,22.3864637200,21.6610848000,21.7981379600,1584528,104307692.0000,7.962452
sz.300566,2017-03-02,21.7947952000,22.0555304800,21.4939468000,21.7179117200,1260828,82185776.0000,6.335819
sz.300566,2017-03-03,21.6176289200,22.1290712000,21.2800101600,21.7881096800,1209154,78706649.0000,6.076151
sz.300566,2017-03-06,21.7446538000,22.3764354400,21.5674875200,22.2293540000,1400867,92785514.0000,7.039533
sz.300566,2017-03-07,22.2226684800,22.8410790800,22.1223856800,22.7374535200,1810251,122326256.0000,9.096739
sz.300566,2017-03-08,22.7307680000,22.7641956000,22.1290712000,22.2460678000,1333975,89448237.0000,6.703392
sz.300566,2017-03-09,22.2460678000,22.2460678000,21.5641447600,21.8282228000,1139628,74132045.0000,5.726774
sz.300566,2017-03-10,21.7312827600,22.0488449600,21.7279400000,21.7479965600,919215,60223256.0000,4.619171
sz.300566,2017-03-13,21.7479965600,22.3095802400,21.2933812000,22.2126402000,1252055,81811377.0000,6.291734
sz.300566,2017-03-14,22.1558132800,22.7274252400,22.0221028800,22.0354739200,1142400,76423961.0000,5.740704
sz.300566,2017-03-15,21.9218200800,23.9341616000,21.4939468000,23.4695179600,2462493,165571595.0000,12.374337
sz.300566,2017-03-16,23.1987544000,23.9609036800,23.0917860800,23.4996028000,2366271,166905990.0000,11.890809
sz.300566,2017-03-17,23.4929172800,23.6366559600,22.3630644000,22.3630644000,1853585,128090189.0000,9.314497
sz.300566,2017-03-20,22.2661243600,24.5993708400,22.2627816000,24.5993708400,1681810,120698545.0000,8.451307
sz.300566,2017-03-21,25.0673572400,26.6284261600,24.9303040800,25.7325664800,4501566,345435840.0000,22.620935
sz.300566,2017-03-22,26.0735280000,26.1002700800,24.9570461600,25.8529058400,3215996,245079975.0000,16.160784
sz.300566,2017-03-23,25.5787995200,26.0701852400,24.4021480000,24.8066219600,2866409,217075004.0000,14.404065
